index,Key,Year,subject,bat_species,Bat_names (following current nomemclature),Bat Family,Virus,Virus Family,Bioregions,BIOG-Support
27,FIVTPI6B,2023,cells,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Rhinolophidae,MuLV,Retroviridae,NA,Rodent Pathogen
28,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,HIV-1,Retroviridae,NA,Human virus
29,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,SIVmac,Retroviridae,Y,circulating in areas where the bat is endemic
30,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,MuLV,Retroviridae,NA,Rodent Pathogen
31,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,HIV-1,Retroviridae,NA,Human virus
32,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,SIVmac,Retroviridae,Y,"overlap in Myanmar between Rhesus range and the bat, bat range https://www.bio.bris.ac.uk/research/bats/China/miniopterusfuliginosus.htm#:~:text=Little%20known.-,Distribution,(1997)."
33,FIVTPI6B,2023,cells,Miniopterus fuliginosus,Miniopterus fuliginosus,Miniopteridae,MuLV,Retroviridae,NA,Rodent Pathogen
34,FIVTPI6B,2023,cells,Miniopterus schreibersii,Miniopterus schreibersii,Miniopteridae,HIV-1,Retroviridae,NA,Human virus
35,FIVTPI6B,2023,cells,Miniopterus schreibersii,Miniopterus schreibersii,Miniopteridae,SIVmac,Retroviridae,N,
36,FIVTPI6B,2023,cells,Miniopterus schreibersii,Miniopterus schreibersii,Miniopteridae,MuLV,Retroviridae,NA,Rodent Pathogen
37,FIVTPI6B,2023,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,HIV-1,Retroviridae,NA,Human virus
38,FIVTPI6B,2023,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,SIVmac,Retroviridae,N,
39,FIVTPI6B,2023,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,MuLV,Retroviridae,NA,Rodent Pathogen
40,FIVTPI6B,2023,cells,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,HIV-1,Retroviridae,NA,Human virus
41,FIVTPI6B,2023,cells,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,SIVmac,Retroviridae,N,
42,FIVTPI6B,2023,cells,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,MuLV,Retroviridae,NA,Rodent Pathogen
43,FIVTPI6B,2023,cells,Eptesicus nilssonii,Eptesicus nilssonii,Vespertilionodae,HIV-1,Retroviridae,NA,Human virus
44,FIVTPI6B,2023,cells,Eptesicus nilssonii,Eptesicus nilssonii,Vespertilionodae,SIVmac,Retroviridae,N,
45,FIVTPI6B,2023,cells,Eptesicus nilssonii,Eptesicus nilssonii,Vespertilionodae,MuLV,Retroviridae,NA,Rodent Pathogen
46,46TUSSVR,2023,cells,Miniopterus schreibersii,Miniopterus schreibersii,Miniopteridae,LLOV,Filoviridae,Y,Circulating in Europe
47,VI7RDE32,2009,cells,Pteropus alecto,Pteropus alecto,Pteropodidae,HeV,Paramyxoviridae,Y,https://www.publish.csiro.au/ZO/ZO12126
48,VI7RDE32,2009,cells,Pteropus alecto,Pteropus alecto,Pteropodidae,NiV,Paramyxoviridae,Y,Circulating in areas where virus is endemic
49,2Y5AIBWD,2023,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IAV,Orthomyxoviridae,Y,Found in stenodermatinae in brazil
50,2Y5AIBWD,2023,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IAV,Orthomyxoviridae,Y,Found in stenodermatinae in brazil
51,APIUIPRI,2014,cells,Hypsignathus monstrosus,Hypsignathus monstrosus,Pteropodidae,NiV,Paramyxoviridae,N,
52,APIUIPRI,2014,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,NiV,Paramyxoviridae,N,
53,AFBCQF2Z,2017,cells,Pteropus alecto,Pteropus alecto,Pteropodidae,IAV,Orthomyxoviridae,Y,can be argue to be a cosmopolitan virus
54,KW82NQLM,2022,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,LBV,Rhabdoviridae,Y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1539106/
55,G5NAD56D,2023,cells,Rhinolophus lepidus,Rhinolophus lepidus,Rhinolophidae,SARS-CoV-2,Coronaviridae,Y,circulating in areas where the bat is endemic
56,UME3S8XF,2018,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,MARV,Filoviridae,Y,circulating in areas where the bat is endemic
57,UME3S8XF,2018,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,SeV,Paramyxoviridae,N,
58,9LZFY9FW,2013,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,reovirus serotype 3,Reoviridae,N,
59,9LZFY9FW,2013,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,EMCV,Picornaviridae,N,
60,894BTMV6,2021,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,MARV,Filoviridae,Y,circulating in areas where the bat is endemic
61,894BTMV6,2021,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,EBOV,Filoviridae,Y,Seropositivity
62,84G4LCIW,2023,cells,Myotis myotis,Myotis myotis,Vespertilionodae,EBLV-1,Rhabdoviridae,Y,Circulating in Europe
63,9PETUGNS,2016,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,IAV,Orthomyxoviridae,Y,can be argue to be a cosmopolitan virus
